0	16
1	13
2	9
3	7
4	22
5	17
6	13
7	12
8	11
9	9
10	7
11	46
12	23
13	20
14	13
15	11
16	9
17	17
18	9
19	7
20	7
21	13
22	9
23	8
24	7
25	7
26	6
27	8
28	34
29	28
30	17
31	9
32	7
33	7
34	6
35	10
36	7
37	13
38	12
39	32
40	20
41	16
42	15
43	11
44	11
45	7
46	10
47	9
48	11
49	10
50	7
51	6
52	6
53	12
54	10
55	7
56	7
57	27
58	10
59	9
60	8
61	7
62	12
63	6
64	8
65	32
66	30
67	28
68	8
69	6
70	14
71	9
72	6
73	8
74	7
75	6
76	24
77	6
78	6
79	33
80	12
81	7
82	6
83	17
84	8
85	12
86	9
87	7
88	13
89	11
90	9
91	8
92	9
93	117
94	19
95	11
96	6
97	21
98	7
99	78
100	29
101	7
102	7
103	8
104	10
105	7
106	17
107	8
108	58
109	22
110	18
111	17
112	11
113	9
114	7
115	7
116	7
117	7
118	9
119	29
120	29
121	19
122	15
123	12
124	7
125	6
126	6
127	9
128	18
129	11
130	10
131	8
132	7
133	30
134	7
135	7
136	15
137	14
138	8
139	13
140	9
141	53
142	16
143	15
144	11
145	11
146	10
147	7
148	23
149	21
150	11
151	6
152	26
153	11
154	8
155	7
156	9
157	8
158	36
159	20
160	12
161	10
162	10
163	9
164	18
165	14
166	13
167	12
168	11
169	7
170	7
171	28
172	22
173	15
174	8
175	7
176	25
177	7
178	14
179	10
180	8
181	13
182	21
183	20
184	7
185	6
186	17
187	15
188	6
189	23
190	17
191	12
192	9
193	7
194	7
195	6
196	8
197	6
198	20
199	34
200	15
201	15
202	9
203	9
204	6
205	7
206	8
207	17
208	16
209	17
210	10
211	7
212	6
213	8
214	6
215	24
216	20
217	9
218	8
219	7
220	14
221	7
222	6
223	16
224	56
225	13
226	18
227	7
228	7
229	7
230	13
231	12
232	7
233	6
234	26
235	14
236	14
237	8
238	10
239	7
240	13
241	15
242	13
243	10
244	8
245	6
246	7
247	24
248	13
249	10
250	7
251	13
252	8
253	22
254	15
255	13
256	12
257	11
258	6
259	6
260	6
261	22
262	18
263	14
264	11
265	7
266	7
267	9
268	9
269	64
270	14
271	6
272	6
273	6
274	12
275	49
276	16
277	12
278	11
279	8
280	8
281	25
282	19
283	15
284	7
285	10
286	7
287	11
288	6
289	13
290	15
291	10
292	10
293	10
294	9
295	15
296	8
297	7
298	16
299	13
300	7
301	6
302	18
303	14
304	11
305	6
306	8
